path	bigsmiles	canonical_bigsmiles
PolymerLit-MT_processed/1.corrected.mol	{[][$]CC[$][]}	{[][>]CC[<][]}
PolymerLit-MT_processed/10.corrected.mol	{[][$]CC(OC(=O)C)[$][]}	{[][>]CC(OC(C)=O)[<],[>]C(OC(C)=O)C[<][]}
PolymerLit-MT_processed/100.corrected.mol	{[][$]CC(CC)[$][]}	{[][>]CC(CC)[<],[>]C(CC)C[<][]}
PolymerLit-MT_processed/101.corrected.mol	{[][<]OCCOC(=O)CCCCCCCC(=O)[>][]}	{[][>]OCCOC(=O)CCCCCCCC(=O)[<][]}
PolymerLit-MT_processed/102.corrected.mol	{[][$]CC(C(=O)OC(C)CCCCCC)[$][]}	{[][>]CC(C(OC(CCCCCC)C)=O)[<],[>]C(C(OC(CCCCCC)C)=O)C[<][]}
PolymerLit-MT_processed/103.corrected.mol	{[][$]CC(C(=O)OCCC)[$][]}	{[][>]CC(C(OCCC)=O)[<],[>]C(C(OCCC)=O)C[<][]}
PolymerLit-MT_processed/104.corrected.mol	{[][$]CC(F)(F)[$][]}	{[][>]CC(F)(F)[<],[>]C(F)(F)C[<][]}
PolymerLit-MT_processed/105.corrected.mol	{[][<]OCCOC(=O)CCCCC(=O)[>][]}	{[][>]OCCOC(=O)CCCCC(=O)[<][]}
PolymerLit-MT_processed/106.corrected.mol	{[][$]CC(CCCC(C)C)[$][]}	{[][>]CC(CCCC(C)C)[<],[>]C(CCCC(C)C)C[<][]}
PolymerLit-MT_processed/107.corrected.mol	{[][<]OC(C)CCCC(C)C(=O)[>][]}	{[][>]OC(C)CCCC(C)C(=O)[<][]}
PolymerLit-MT_processed/108.corrected.mol	{[][<]OCCOC(=O)CCCCCCCCC(=O)[>][]}	{[][>]OCCOC(=O)CCCCCCCCC(=O)[<][]}
PolymerLit-MT_processed/109.corrected.mol	{[][<]CCCC(C)(C1=CC=CC=C1)[>][]}	{[][>]CCCC(c(cc1)ccc1)(C)[<][]}
PolymerLit-MT_processed/11.corrected.mol	{[][$]CCN(CCN)CCNCCN(CCNCCN)CCN(CN(CN)CN)CC[$][]}	{[][>]CCN(CN(CN)CN)CCN(CCNCCN)CCNCCN(CCN)CC[<],[>]CCN(CCN)CCNCCN(CCNCCN)CCN(CN(CN)CN)CC[<][]}
PolymerLit-MT_processed/110.corrected.mol	{[][$]CC(C(=O)OCC(C)C)[$][]}	{[][>]CC(C(OCC(C)C)=O)[<],[>]C(C(OCC(C)C)=O)C[<][]}
